step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
850000,0.85,29.221791232914935,62.44923474900725,85.3359795337986,147.72709701166917,116.43920159998625,5.240651184804313,8.66335526578257,0,2.682770914796031,13,3,5,13,1.6528245208718855,104.40625986200233
875000,0.875,29.246730734584617,63.67207971321535,84.08162129140398,147.636425728551,116.27256418228268,6.852010023496046,7.408997023387954,0,2.6398712608791257,6,3,5,12,1.648997480405674,103.99469721113226
900000,0.8999999999999999,28.909988692751988,63.159060865085785,84.47471457856892,147.55302449870746,115.83569720383589,7.370427284277995,7.802090310552899,0,3.161098931522015,6,2,3,12,1.6382449904771494,103.29031425685073
925000,0.9249999999999999,28.957369347615522,63.965304765399594,83.91317583416836,147.72287373931,116.0851569693036,6.5055174751248,7.240551566152334,0,2.641474039166009,9,2,7,10,1.651019992313692,101.61570904193316
950000,0.95,28.79298922627473,62.84026088038466,84.51042155965894,147.16831339788857,116.2527838121367,6.852548704983543,7.837797291642914,0,2.6244316173641624,7,2,7,10,1.6589933734679478,102.32140923467935
975000,0.975,28.724089365784014,63.543047299395546,83.87474048587947,147.1494589922941,115.90215065163439,8.062698660924266,7.202116217863448,0,2.8958575562533095,6,2,5,10,1.648941077833531,102.72014296554573
1000000,1.0,28.659900567651356,61.83777188430985,85.53952179508006,147.04963499949903,116.46456824680594,7.743895521319763,8.86689752706404,0,2.7903326333618863,4,2,4,11,1.6688047317146593,104.57619126893202
1025000,1.025,29.157160315791923,63.97670264771858,84.64767983715512,148.1370421107413,116.56678578007202,9.264397455218981,7.975055569139101,0,2.708245182496793,9,2,5,10,1.6342767243571306,102.3774318069458
1050000,1.05,29.389362772526713,64.3731167070501,85.52880606568851,149.35535652455002,117.3016192419343,10.111963464010266,8.856181797672491,0,2.6335172640772417,6,2,5,10,1.6699242621820176,102.33295087671915
1075000,1.075,29.479222249283175,63.59351004067455,86.66907366864874,149.72999073633622,117.55692867245705,9.978019551968297,9.996449400632713,0,2.6942579879845434,8,3,6,10,1.6309288857417428,102.60132129623831
1100000,1.0999999999999999,29.80676515729348,65.6071991935267,85.85106457556066,151.0237139519806,117.6893281469863,9.622310830024063,9.178440307544633,0,2.8302555091555233,10,4,6,10,1.6654210497792081,101.60804158562527
1125000,1.125,29.544958662773972,64.96913806535208,86.4309079688731,150.78686557910436,117.76795194028148,10.329464009480242,9.758283700857078,0,3.0709921534483486,9,3,6,12,1.6756846637666318,104.03030299815592
1150000,1.15,29.66176828683221,65.1936300001577,86.34319303898737,151.0188495918546,118.03422090749015,10.702417798294793,9.670568770971343,0,2.9546028618915607,11,4,6,10,1.646249418333732,103.37098483575576
1175000,1.175,29.68011530850318,64.64239427465098,86.11634656089998,150.54481056354945,117.57361307186754,8.916648188483187,9.443722292883962,0,2.707764183270047,8,2,6,9,1.639845126072719,102.74277600811642
1200000,1.2,29.586815174689356,64.94907125374361,85.78644328527031,150.67299941402973,117.28502805465153,7.610306946112995,9.113819017254286,0,2.771306136872231,8,2,6,9,1.6592818797285678,103.12181084605578
1225000,1.2249999999999999,29.598319167293184,64.50303588805984,85.89917057817024,150.31114042262845,117.27648926534549,7.303809080678879,9.22654631015422,0,2.6943463644262704,10,3,7,10,1.6393273959616657,103.24005303455252
