sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,3.32,48.32,25.494924,54.399358,266.67261,0.20399304,0.56286514,12,4,0.475,0.375,0.6,0.24106515,30,3,5,1.6487293
dA40,3.33,48.33,25.151922,53.792727,267.01967,0.20145605,0.55289295,10,4,0.575,0.45,0.65,0.25693501,29,5,7,1.6414352
dA40,3.34,48.34,25.212789,52.454858,267.35162,0.19620176,0.55308114,11,4,0.5,0.4,0.625,0.24559668,29,4,7,1.6264848
dA40,3.35,48.35,25.363852,53.6013,268.20113,0.19985486,0.56722986,10,4,0.525,0.4,0.625,0.25424404,33,4,7,1.6428311
dA40,3.36,48.36,25.717107,54.293011,265.80696,0.20425729,0.58624886,13,4,0.45,0.375,0.675,0.23389143,30,3,7,1.6458809
dA40,3.37,48.37,25.360986,53.590774,264.73965,0.20242821,0.57792589,13,4,0.45,0.375,0.7,0.2501178,30,4,7,1.6410779
dA40,3.38,48.38,25.284392,53.314813,263.33592,0.20245933,0.57383214,13,5,0.45,0.3,0.625,0.27105393,32,4,9,1.6735618
dA40,3.39,48.39,25.190274,53.52447,265.0365,0.20195131,0.56792421,11,4,0.525,0.425,0.65,0.25903574,33,5,7,1.6398969
dA40,3.4,48.4,25.210968,54.001986,264.46878,0.2041904,0.56356534,13,4,0.475,0.375,0.7,0.24868286,33,4,9,1.6569769
dA40,3.41,48.41,25.247805,53.324515,264.33196,0.20173314,0.57301667,12,4,0.525,0.425,0.65,0.24052885,32,4,8,1.6710656
dA40,3.42,48.42,25.148568,53.37634,265.20122,0.20126733,0.57421014,14,4,0.45,0.3,0.55,0.2517471,32,5,9,1.6579429
dA40,3.43,48.43,25.159589,52.736681,267.69505,0.19700283,0.57499121,11,4,0.55,0.4,0.6,0.23128833,31,2,7,1.6430984
dA40,3.44,48.44,24.908247,52.795583,266.50081,0.19810665,0.57592517,11,4,0.55,0.375,0.6,0.23924777,33,4,9,1.6559355
dA40,3.45,48.45,24.826126,52.436951,268.43796,0.19534104,0.57285709,9,4,0.625,0.425,0.675,0.24363194,31,6,9,1.6470064
dA40,3.46,48.46,24.456681,51.517459,268.36854,0.19196535,0.54503528,11,4,0.55,0.4,0.625,0.24285261,32,3,8,1.643361
dA40,3.47,48.47,24.806421,52.109444,269.69042,0.19321949,0.56481176,7,4,0.7,0.525,0.675,0.23718038,32,4,9,1.6654104
