sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dT40,1.73,1.73,25.26393,64.01678,287.84542,0.22239985,0.6776148,5,8,0.8,0.3,0.2,-0.0004538015,30,1,4,1.664448
dT40,1.74,1.74,25.336919,64.840326,290.12544,0.22349066,0.68001832,4,6,0.85,0.45,0.25,0.039801848,31,0,3,1.6876809
dT40,1.75,1.75,25.497021,66.004826,293.06154,0.22522514,0.70131649,5,8,0.8,0.3,0.25,0.010563235,29,0,4,1.6553417
dT40,1.76,1.76,25.650858,65.282142,291.83505,0.22369534,0.69382785,4,6,0.85,0.45,0.25,-0.012839495,31,1,4,1.6751799
dT40,1.77,1.77,25.826611,65.661607,296.8435,0.22119941,0.68401306,3,7,0.85,0.4,0.225,-0.010529223,28,0,4,1.6353403
dT40,1.78,1.78,25.652906,64.958554,294.05727,0.22090444,0.67566979,3,7,0.85,0.4,0.175,0.0031235374,30,1,5,1.6608441
dT40,1.79,1.79,25.610239,65.630482,293.31518,0.22375413,0.67504304,4,7,0.85,0.4,0.25,0.030502383,30,1,4,1.6564352
dT40,1.8,1.8,25.758307,66.242042,293.71049,0.22553516,0.66612767,4,6,0.85,0.425,0.275,0.018050012,29,1,5,1.6528005
dT40,1.81,1.81,26.004316,66.957436,291.38061,0.22979373,0.67576026,4,7,0.85,0.4,0.3,0.01912498,31,0,5,1.6317743
dT40,1.82,1.82,25.903276,66.407431,293.32415,0.22639606,0.66917251,4,8,0.85,0.35,0.275,0.02954079,31,1,4,1.6367219
dT40,1.83,1.83,25.864897,66.178711,291.86447,0.22674467,0.66663332,4,7,0.85,0.4,0.325,0.034061171,28,0,4,1.6351949
dT40,1.84,1.84,25.531978,64.697484,290.01167,0.2230858,0.65790365,4,7,0.85,0.4,0.175,0.018249096,28,1,4,1.6561683
dT40,1.85,1.85,25.726771,65.743854,288.81176,0.22763566,0.66349787,4,5,0.85,0.55,0.25,0.010207254,29,1,4,1.6310967
dT40,1.86,1.86,26.094826,66.464008,292.91184,0.22690789,0.67554499,4,7,0.85,0.4,0.25,0.011022479,28,0,3,1.6687667
dT40,1.87,1.87,25.907728,65.562446,291.33731,0.22503964,0.67554621,4,6,0.85,0.45,0.25,0.023334467,29,1,5,1.6337815
dT40,1.88,1.88,25.467299,63.773474,289.18698,0.22052678,0.65983661,4,6,0.85,0.45,0.225,0.0047449259,28,1,4,1.6439954
dT40,1.89,1.89,25.619574,63.175416,292.10419,0.21627699,0.64171007,4,6,0.85,0.45,0.275,-0.0086351217,27,1,5,1.6650679
dT40,1.9,1.9,25.778629,63.769288,295.27167,0.21596819,0.65182229,3,5,0.875,0.525,0.2,-0.02952361,27,1,4,1.6328137
dT40,1.91,1.91,25.787619,64.362684,295.96002,0.21747087,0.65365274,4,8,0.85,0.35,0.225,-0.016499831,29,0,4,1.6632814
dT40,1.92,1.92,25.879087,63.369403,296.33259,0.21384554,0.65747043,4,7,0.85,0.4,0.2,-0.028763546,30,1,5,1.6464088
dT40,1.93,1.93,26.254433,65.625317,292.64957,0.22424539,0.67702051,4,7,0.85,0.425,0.225,-0.028643346,28,1,5,1.6408548
dT40,1.94,1.94,25.824633,64.001053,292.23019,0.21900904,0.66788374,4,6,0.85,0.45,0.175,-0.012738244,29,1,3,1.6306776
dT40,1.95,1.95,25.643755,63.823647,292.53906,0.21817137,0.65060561,4,7,0.85,0.425,0.125,-0.013174247,30,1,7,1.6572769
